tstamp,temp,hum,light,co,no2,noise
20170117181500,22.8,33.75,3.13,1.17,36.61,62.33
20170117183000,22.65,33.46,3.07,1.17,71.79,70.76
20170117184500,22.39,33.75,3.09,1.17,95.93,65.03
20170117190000,22.47,34.38,3.17,1.17,106.21,63.04
20170117191500,22.66,34.55,3.23,1.17,112.52,61.47
20170117193000,22.62,34.26,3.21,1.17,117.32,55.86
20170117194500,22.62,34.07,3.18,1.17,120.59,51.72
20170117200000,22.54,33.75,3.11,1.17,123.49,51.91
20170117201500,22.41,32.73,2.85,1.17,125.91,59.11
20170117203000,22.35,31.66,2.65,1.17,127.86,56.77
20170117204500,22.26,29.92,2.13,1.17,130.14,58.17
20170117210000,21.99,30.41,2.25,1.17,132.87,50
20170117211500,22.33,28.53,0.43,1.17,133.44,50
20170117213000,22.61,26.22,0,1.17,134.61,50
20170117214500,22.52,25.06,0,1.17,135.53,50
20170117220000,22.37,23.83,0,1.17,136.79,50
20170117221500,22.19,23.43,0,1.17,137.43,50
20170117223000,22.01,23.09,0,1.17,138.28,50
20170117224500,21.91,22.51,0,1.17,139.05,50
20170117230000,21.79,22.12,0,1.17,139.51,50
20170117231500,21.65,22,0,1.17,139.73,50
20170117233000,21.50,21.95,0,1.17,139.87,50
20170117234500,21.44,21.23,0,1.17,140.90,50
20170118000000,21.34,20.93,0,1.17,141.18,50
20170118001500,21.20,20.62,0,1.17,141.26,50
20170118003000,21.10,20.59,0,1.17,141.45,50
20170118004500,21.01,20.47,0,1.17,141.68,50
20170118010000,20.83,20.35,0,1.17,141.83,50
20170118011500,20.67,20.17,0,1.17,141.99,50
20170118013000,20.51,19.87,0,1.17,142.71,50
20170118014500,20.67,19.50,0,1.17,142.95,50
20170118020000,20.44,19.39,0,1.17,143.20,50
20170118021500,20.48,19.07,0,1.17,143.62,50
20170118023000,20.49,18.90,0,1.17,143.87,50
20170118024500,20.47,18.75,0,1.17,144.31,50
20170118030000,20.34,18.51,0,1.17,144.65,50
20170118031500,20.19,18.31,0,1.17,145.02,50
20170118033000,20.19,18.34,0,1.17,145.23,50
20170118034500,20.15,18.18,0,1.17,145.48,55.05
20170118040000,20.29,17.73,0,1.17,145.48,50
20170118041500,20.04,17.84,0,1.17,145.90,50
20170118043000,19.94,17.84,0,1.17,146.24,50
20170118044500,19.92,17.69,0,1.17,146.43,50
20170118050000,19.85,17.57,0,1.17,146.75,50
20170118051500,19.77,17.47,0,1.17,147,50
20170118053000,19.56,17.43,0,1.17,147.35,50
20170118054500,19.47,17.39,0,1.17,147.76,50
20170118060000,19.43,17.08,0,1.17,148.02,50
20170118061500,19.45,17.14,0,1.17,147.92,50
20170118063000,19.26,17.08,0,1.17,148.17,50
20170118064500,19.15,17.05,0,1.17,148.49,50
20170118070000,19.11,16.93,1.67,1.17,149.39,50
20170118071500,19.91,16.22,3.12,1.17,149.65,66.32
20170118073000,19.92,16.08,3.13,1.17,149.62,57.77
20170118074500,19.94,16.51,3.07,1.17,148.02,54.25
20170118080000,20.01,17.06,3.11,1.17,146.91,51.41
20170118081500,20.49,16.95,3.18,1.17,147.39,50
20170118083000,20.66,16.76,3.25,1.17,148.52,51.03
20170118084500,20.82,16.46,3.41,1.17,149.58,50
20170118090000,20.63,16.99,3.48,1.17,148.09,60.14
20170118091500,20.71,17.69,3.70,1.17,147.58,53.88
20170118093000,20.91,18.83,3.93,1.17,144.38,57.73
20170118094500,21.55,19.40,4.13,1.17,143.30,55.63
20170118100000,21.81,20.16,4.23,1.17,142.94,56.13
20170118101500,22.15,20.75,4.30,1.17,142.56,51.05
20170118103000,22.14,21.71,4.30,1.17,141.42,57.09
20170118104500,22.21,22.81,4.50,1.17,140.76,58.27
20170118110000,22.47,23.42,4.59,1.17,139.63,65.29
20170118111500,22.35,24.85,4.54,1.17,138.73,66.49
20170118113000,22.43,25.14,4.97,1.17,138.45,57.62
20170118114500,22.53,24.83,5.26,1.17,138.28,57.81
20170118120000,22.78,24.59,5.78,1.17,138.08,52.65
20170118121500,22.99,24.16,6.27,1.17,137.16,52.61
20170118123000,23.13,23.90,6.68,1.17,138.23,52.77
20170118124500,23.36,23.54,6.80,1.17,138.94,54.62
20170118130000,23.63,22.70,6.75,1.17,140.06,56.31
20170118131500,23.62,22.51,6.81,1.17,140.59,54.40
20170118133000,23.59,21.63,5.63,1.17,142.19,56.07
20170118134500,23.35,20.67,4.22,1.17,144.94,61.13
20170118140000,23.09,20.63,4.34,1.17,145.31,58.27
20170118141500,23.01,20.71,4.21,1.17,145.15,55.57
20170118143000,23.01,20.89,4.16,1.17,144.35,54.89
20170118144500,23.23,20.43,4.07,1.17,144.49,60.27
20170118150000,23.08,21.07,4.03,1.17,142.92,62.27
20170118151500,23.03,21.29,3.89,1.17,142.71,66.46
20170118153000,23.11,21.76,3.92,1.17,141.78,67.26
20170118154500,23.17,22.16,3.83,1.17,140.79,59.45
20170118160000,23.19,22.96,3.79,1.17,140.02,54.71
20170118161500,23.41,22.84,3.60,1.17,139.81,53.87
20170118163000,23.34,23.25,3.59,1.17,139.90,60.28
20170118164500,23.41,24.06,3.49,1.17,139.19,56.55
20170118170000,23.24,24.99,3.37,1.17,139.07,60.36
20170118171500,23.34,25.03,3.50,1.17,138.90,67.38
20170118173000,23.55,25.70,3.47,1.17,137.75,71.71
20170118174500,23.29,26.63,3.29,1.17,138.13,68.91
20170118180000,22.98,26.90,3.25,1.17,138.92,67.41
20170118181500,22.82,26.92,3.21,1.17,138.72,68.73
20170118183000,22.46,27.73,3.13,1.17,138.94,69.81
20170118184500,22.49,27.73,3.15,1.17,140.13,66.10
20170118190000,22.99,27.01,3.24,1.17,139.83,58.45
20170118191500,23.17,26.37,3.26,1.17,138.99,57.11
20170118193000,22.51,27.15,3.12,1.17,140.98,64.99
20170118194500,22.64,26.70,3.18,1.17,141.08,58.77
20170118200000,22.39,26.59,3.23,1.17,142.29,57.40
20170118201500,23.24,25.20,3.03,1.17,141.92,60.22
20170118203000,23.19,24.37,2.63,1.17,142.20,57.30
20170118204500,22.53,24.43,2.21,1.17,143.35,60.69
20170118210000,22.47,24.24,1.99,1.17,144.40,51.85
20170118211500,22.90,22.71,2.01,1.17,145.59,50
20170118213000,22.81,22,2.14,1.17,146.51,50
20170118214500,22.63,21.22,0.04,1.17,147.11,50
20170118220000,22.45,20.95,0,1.17,147.59,50
20170118221500,22.29,20.30,0,1.17,148.19,50
20170118223000,22.15,20.09,0,1.17,148.39,50
20170118224500,21.99,19.75,0,1.17,148.48,50
20170118230000,21.87,19.52,0,1.17,148.54,50
20170118231500,21.75,19.19,0,1.17,148.62,50
20170118233000,21.60,19.04,0,1.17,148.62,50
20170118234500,21.51,18.84,0,1.17,148.74,50
20170119000000,21.42,18.65,0,1.17,148.90,50
20170119001500,21.29,18.53,0,1.17,148.89,50
20170119003000,21.20,18.36,0,1.17,149.11,50
20170119004500,21.18,18.18,0,1.17,149.13,50
20170119010000,21.08,18.05,0,1.17,149.29,50
20170119011500,20.96,17.92,0,1.17,149.39,50
20170119013000,20.92,17.79,0,1.17,149.46,50
20170119014500,20.84,17.70,0,1.17,149.61,50
20170119020000,20.72,17.58,0,1.17,149.79,50
20170119021500,20.67,17.57,0,1.17,149.88,50
20170119023000,20.63,17.47,0,1.17,149.97,50
20170119024500,20.60,17.42,0,1.17,150.11,50
20170119030000,20.53,17.38,0,1.17,150.07,50
20170119031500,20.44,17.48,0,1.17,150.15,50
20170119033000,20.36,17.53,0,1.17,150.15,50
20170119034500,20.30,17.53,0,1.17,150.22,50
20170119040000,20.27,17.54,0,1.17,150.16,50
20170119041500,20.23,17.54,0,1.17,150.24,50
20170119043000,20.17,17.55,0,1.17,150.52,50
20170119044500,20.10,17.57,0,1.17,150.62,50
20170119050000,20.08,17.48,0,1.17,150.65,50
20170119051500,20.01,17.45,0,1.17,150.72,50
20170119053000,19.95,17.44,0,1.17,150.98,50
20170119054500,19.84,17.49,0,1.17,151.13,50
20170119060000,19.87,17.34,0,1.17,151.21,50
20170119061500,19.79,17.26,0,1.17,151.56,50
20170119063000,19.76,17.15,0,1.17,151.63,50
20170119064500,19.79,17.05,0,1.17,151.83,50
20170119070000,19.69,17.01,0.09,1.17,152.07,50
20170119071500,19.49,17.83,3.07,1.17,152.14,58.26
20170119073000,19.58,17.97,2.90,1.17,151.61,60.45
20170119074500,19.80,18.49,2.99,1.17,150.66,52.50
20170119080000,18.37,19.84,3.17,1.17,151.07,50
20170119081500,18.32,19.29,3.13,1.17,151.01,50
20170119083000,18.03,19.45,3.21,1.17,151.74,50
20170119084500,18.66,18.82,3.23,1.17,150.93,51.49
20170119090000,18.13,20.26,3.31,1.17,151.49,53.40
20170119091500,18.25,22.20,3.41,1.17,150.18,52.30
20170119093000,18.59,23.71,3.60,1.17,148.79,53.63
20170119094500,18.97,25.09,3.43,1.17,147.12,56.19
20170119100000,19.35,26.05,3.41,1.17,145.50,54.74
20170119101500,19.79,27.11,3.53,1.17,143.74,55.14
20170119103000,20.07,27.33,3.71,1.17,143.35,58.41
20170119104500,20.45,27.82,3.65,1.17,142.08,62.19
20170119110000,20.47,28.08,3.59,1.17,141.76,59.16
20170119111500,20.75,27.86,4.15,1.17,141.52,65.28
20170119113000,20.89,27.80,4.97,1.17,141.03,62.17
20170119114500,20.89,28.15,5.38,1.17,140.84,52.05
20170119120000,21.86,26.54,5.65,1.17,139.45,57.19
20170119121500,22.25,26.20,5.38,1.17,139.32,56.06
20170119123000,22.76,25.76,4.43,1.17,139.20,61.78
20170119124500,22.58,26.29,4.43,1.17,139.84,52.72
20170119130000,22.47,25.95,4.81,1.17,141.05,55.27
20170119131500,22.91,25.78,5.24,1.17,139.88,58.96
20170119133000,22.68,25.05,5,1.17,141.66,63.53
20170119134500,22.67,23.83,5.15,1.17,143.71,63.92
20170119140000,22.51,24.15,6.23,1.17,143.51,66.37
20170119141500,22.71,23.32,6.04,1.17,143.50,60.87
20170119143000,22.77,22.91,6.87,1.17,143.16,66.99
20170119144500,22.88,22.51,4.98,1.17,143.18,69.88
20170119150000,22.77,22.72,3.90,1.17,142.31,65.84
20170119151500,22.57,22.73,3.83,1.17,142.51,63.68
20170119153000,22.31,23.39,3.71,1.17,141.54,58.03
20170119154500,22.28,24.24,3.64,1.17,140.57,60.90
20170119160000,22.28,23.93,3.59,1.17,139.96,58.69
20170119161500,22.52,23.43,3.49,1.17,140.30,56.35
20170119163000,22.34,24.05,3.43,1.17,141.02,59.91
20170119164500,22.51,23.98,3.41,1.17,141.03,56.45
20170119170000,22.36,24.33,3.37,1.17,141.64,58.22
20170119171500,22.37,24.50,3.27,1.17,142.14,58.23
20170119173000,22.35,24.30,3.21,1.17,142.71,57.51
20170119174500,22.27,24.39,3.22,1.17,142.91,52.45
20170119180000,22.19,24.63,3.23,1.17,143.07,60.50
20170119181500,22.10,25.11,3.18,1.17,142.53,64.83
20170119183000,22.10,25.59,3.16,1.17,141.26,60.99
20170119184500,21.95,25.64,3.19,1.17,142.05,57.44
20170119190000,21.93,25.75,3.17,1.17,142.73,59.49
20170119191500,22.01,25.51,3.17,1.17,142.33,55.49
20170119193000,22.10,25.16,3.27,1.17,142.63,51.04
20170119194500,22.18,24.85,3.21,1.17,143.01,55.23
20170119200000,22.13,24.77,3.19,1.17,143.89,50.65
20170119201500,22.06,24.77,3.23,1.17,144.55,52.08
20170119203000,22.14,24.19,2.64,1.17,144.78,53.88
20170119204500,21.96,23.75,2.23,1.17,145.99,57.72
20170119210000,21.72,23.57,2.12,1.17,147.25,50
20170119211500,22.20,22.53,2.28,1.17,146.97,50
20170119213000,22.23,21.96,2.30,1.17,147.14,50
20170119214500,22.11,21.73,2.18,1.17,147.37,50
20170119220000,21.96,21.17,0,1.17,147.85,50
20170119221500,21.80,20.74,0,1.17,148.40,50
20170119223000,21.75,20.34,0,1.17,148.96,50
20170119224500,21.57,20.49,0,1.17,149.02,50
20170119230000,21.51,20.19,0,1.17,149.05,50
20170119231500,21.36,20.11,0,1.17,149.35,50
20170119233000,21.21,20.10,0,1.17,149.58,50
20170119234500,21.20,19.92,0,1.17,149.33,55.41
20170120000000,21.28,19.59,0,1.17,149.38,50
20170120001500,20.87,20.09,0,1.17,149.91,50
20170120003000,20.89,19.81,0,1.17,150.03,50
20170120004500,20.78,19.88,0,1.17,149.87,50
20170120010000,20.67,19.92,0,1.17,150.23,50
20170120011500,20.63,19.86,0,1.17,150.22,50
20170120013000,20.53,19.96,0,1.17,150.21,50
20170120014500,20.53,19.94,0,1.17,150.12,50
20170120020000,20.53,19.99,0,1.17,150.17,50
20170120021500,20.44,20.09,0,1.17,150.29,50
20170120023000,20.45,20.13,0,1.17,150.04,50
20170120024500,20.48,20.18,0,1.17,150.18,50
20170120030000,20.47,20.16,0,1.17,150.27,50
20170120031500,20.34,20.38,0,1.17,150.28,50
20170120033000,20.32,20.45,0,1.17,150.36,50
20170120034500,20.38,20.46,0,1.17,150.46,50
20170120040000,20.33,20.49,0,1.17,150.50,50
20170120041500,20.25,20.61,0,1.17,150.38,50
20170120043000,20.26,20.55,0,1.17,150.53,50
20170120044500,20.20,20.68,0,1.17,150.48,50
20170120050000,20.12,20.82,0,1.17,150.57,50
20170120051500,20.02,20.96,0,1.17,150.63,50
20170120053000,20.05,20.92,0,1.17,150.65,50
20170120054500,20.07,20.98,0,1.17,150.63,50
20170120060000,20.04,20.93,0,1.17,150.86,50
20170120061500,19.97,21.03,0,1.17,150.82,50
20170120063000,19.94,21.17,0,1.17,150.84,50
20170120064500,19.87,21.24,0,1.17,150.83,50
20170120070000,19.88,21.22,0.55,1.17,151.06,50
20170120071500,19.71,22.44,3.24,1.17,150.62,60.21
20170120073000,19.85,22.77,3,1.17,149.36,60.12
20170120074500,19.82,22.95,3.07,1.17,149.14,58.05
20170120080000,19.97,22.85,3.20,1.17,149.06,54.94
20170120081500,20.06,22.91,3.20,1.17,149.47,50
20170120083000,20.69,21.80,3.31,1.17,152,50
20170120084500,20.63,21.88,3.27,1.17,153.54,50
20170120090000,20.66,22.62,3.24,1.17,151.78,55.70
20170120091500,20.41,23.75,3.18,1.17,150.98,53.05
20170120093000,20.60,24.58,3.25,1.17,149.74,52.97
20170120094500,20.97,24.73,3.39,1.17,149.34,52.55
20170120100000,20.21,27.46,3.55,1.17,148.99,51.05
20170120101500,20.98,26.99,3.74,1.17,147.12,50.97
20170120103000,20.39,29.31,3.85,1.17,146.79,52.52
20170120104500,21.21,28.33,4,1.17,145.16,58.77
20170120110000,20.81,29.85,4.03,1.17,145.38,65.12
20170120111500,21.63,28.95,4.28,1.17,143.82,67.43
20170120113000,21.75,29.30,4.71,1.17,142.76,65.31
20170120114500,21.51,29.98,4.08,1.17,142.30,52.38
20170125140000,22.43,23.49,4.34,1.17,63.03,51.60
20170125141500,22.22,23.57,4.32,1.17,103.40,50
20170125143000,22.12,23.55,4.09,1.17,120.72,50.07
20170125144500,22,23.66,4.02,1.17,129.82,50
